
Hanson    	1	M	lighter green       	Healthy
Emory     	3	M	red purple          	Healthy
Tyne      	3	F	candy pink          	Healthy
Jerrylee  	3	F	red purple          	Healthy
Riley     	3	M	red purple          	Radioactive
Osbourn   	3	M	candy pink          	Healthy
Lusa      	3	F	candy pink          	Healthy
Kiley     	3	M	candy pink          	Healthy
Martino   	3	M	red purple          	Healthy
Christan  	3	F	red purple          	Healthy
Ramon     	3	M	candy pink          	Healthy
Shepperd  	3	M	candy pink          	Healthy
Desdemona 	3	F	red purple          	Radioactive
Brandy    	3	M	candy pink          	Radioactive
Wally     	3	M	candy pink          	Radioactive
Riccardo  	3	M	candy pink          	Radioactive
Edgard    	3	M	red purple          	Radioactive
Tisha     	3	F	red purple          	Radioactive
Torr      	3	M	red purple          	Radioactive
Kristin   	3	F	candy pink          	Healthy
Jodi      	3	F	candy pink          	Healthy
Rodolph   	3	M	candy pink          	Radioactive
Winthrop  	3	M	candy pink          	Healthy
Christa   	3	F	candy pink          	Healthy
Russ      	3	M	red purple          	Radioactive
Hasheem   	3	M	red purple          	Radioactive
Shauna    	3	F	red purple          	Radioactive
Elysia    	3	F	candy pink          	Radioactive
Grover    	3	M	candy pink          	Radioactive
Lew       	3	M	candy pink          	Radioactive
Bambie    	3	F	candy pink          	Healthy
Birgit    	3	F	candy pink          	Radioactive
Ingrid    	3	F	red purple          	Radioactive
Nil       	3	M	candy pink          	Healthy
Jephthah  	3	M	candy pink          	Healthy
Alexi     	3	F	candy pink          	Healthy
Geraldine 	3	F	candy pink          	Healthy
Arlina    	3	F	red purple          	Radioactive
Thedric   	3	M	candy pink          	Healthy
Nicki     	3	F	candy pink          	Healthy
Delmore   	3	M	candy pink          	Radioactive
Willdon   	3	M	candy pink          	Healthy
Janina    	3	F	candy pink          	Radioactive
Gerhardine	3	F	candy pink          	Radioactive
Marven    	3	M	candy pink          	Healthy
Trey      	3	M	candy pink          	Healthy
Loren     	3	M	candy pink          	Radioactive
Chevalier 	3	M	candy pink          	Radioactive
Curcio    	3	M	candy pink          	Radioactive
Bartel    	3	M	red purple          	Radioactive
Lurette   	3	F	candy pink          	Healthy
Roselin   	3	F	candy pink          	Radioactive
Haroun    	3	M	red purple          	Radioactive
Fowler    	3	M	candy pink          	Healthy
Selinda   	2	F	red purple          	Radioactive
Vanda     	2	F	candy pink          	Healthy
Baxy      	2	M	red purple          	Radioactive
Janith    	2	F	candy pink          	Healthy
Ferdinande	2	F	red purple          	Healthy
Eldridge  	2	M	candy pink          	Radioactive
Lorry     	2	M	candy pink          	Healthy
Josiah    	2	M	red purple          	Healthy
Herculie  	2	M	red purple          	Healthy
Cary      	2	M	candy pink          	Healthy
Sharleen  	2	F	red purple          	Radioactive
Serge     	2	M	candy pink          	Healthy
Alon      	2	M	candy pink          	Radioactive
Bevvy     	2	F	red purple          	Radioactive
Haven     	2	M	candy pink          	Healthy
Cissiee   	2	F	candy pink          	Healthy
Merrie    	2	F	candy pink          	Radioactive
Pansie    	2	F	red purple          	Healthy
Markos    	2	M	red purple          	Radioactive
Bryn      	2	M	red purple          	Radioactive
Rhona     	2	F	candy pink          	Radioactive
Levin     	2	M	candy pink          	Healthy
Melisande 	2	F	red purple          	Healthy
Natal     	2	M	red purple          	Healthy
Karine    	2	F	candy pink          	Healthy
Cody      	2	M	candy pink          	Radioactive
Sibel     	2	F	red purple          	Healthy
Lorinda   	2	F	red purple          	Healthy
Sly       	2	M	red purple          	Healthy
Raynard   	2	M	red purple          	Radioactive
Lonni     	2	F	candy pink          	Healthy
Ker       	2	M	red purple          	Radioactive
Libbie    	2	F	red purple          	Healthy
Kenon     	2	M	red purple          	Radioactive
Bing      	2	M	candy pink          	Healthy
Derry     	2	M	red purple          	Radioactive
Evelin    	2	M	candy pink          	Healthy
Renate    	2	F	red purple          	Radioactive
Stace     	2	F	candy pink          	Healthy
Wilmette  	2	F	candy pink          	Healthy
Elli      	2	F	candy pink          	Radioactive
Willamina 	2	F	candy pink          	Radioactive
Erie      	2	M	candy pink          	Healthy
Chloris   	2	F	red purple          	Healthy
Ade       	2	M	candy pink          	Healthy
Wanids    	2	F	candy pink          	Healthy
Blake     	2	M	candy pink          	Healthy
Clyve     	2	M	candy pink          	Healthy
Vassili   	2	M	red purple          	Radioactive
Shalom    	2	M	red purple          	Healthy
Mikael    	2	M	candy pink          	Radioactive
Tedd      	2	M	candy pink          	Healthy
Tonya     	2	F	candy pink          	Radioactive
Wyatan    	2	M	candy pink          	Healthy
Percival  	2	M	candy pink          	Healthy
Pacorro   	2	M	red purple          	Healthy
Katherine 	2	F	red purple          	Radioactive
Dougy     	2	M	red purple          	Healthy
Kippy     	2	F	candy pink          	Radioactive
Inger     	2	M	red purple          	Healthy
Hermie    	2	M	candy pink          	Healthy
Tann      	2	M	candy pink          	Healthy
Kathryne  	1	F	candy pink          	Healthy
Philip    	1	M	red purple          	Radioactive
Corie     	1	F	candy pink          	Healthy
Farrel    	1	M	red purple          	Radioactive
Barton    	1	M	candy pink          	Healthy
Brunhilde 	1	F	red purple          	Healthy
Nicolle   	1	F	candy pink          	Radioactive
Woody     	1	M	red purple          	Healthy
Maurene   	1	F	candy pink          	Healthy
Felice    	1	M	red purple          	Healthy
Ami       	1	F	candy pink          	Healthy
Nerita    	1	F	red purple          	Radioactive
Clary     	1	F	red purple          	Healthy
Jodi      	1	F	candy pink          	Radioactive
Ingamar   	1	M	candy pink          	Healthy
Andra     	1	F	red purple          	Radioactive
Jemimah   	1	F	red purple          	Healthy
Hew       	1	M	red purple          	Radioactive
Woodman   	1	M	red purple          	Radioactive
Chrissie  	1	M	red purple          	Radioactive
Abe       	1	M	candy pink          	Healthy
Earle     	1	M	candy pink          	Healthy
Cornelia  	1	F	candy pink          	Healthy
Andi      	1	F	candy pink          	Healthy
Flossie   	1	F	candy pink          	Healthy
Rudd      	1	M	red purple          	Healthy
Sophie    	1	F	red purple          	Radioactive
Isaak     	1	M	candy pink          	Radioactive
Klement   	1	M	candy pink          	Healthy
Flory     	1	M	candy pink          	Healthy
Dayna     	1	F	candy pink          	Healthy
Jodi      	1	M	candy pink          	Radioactive
Ophelie   	1	F	red purple          	Healthy
Frannie   	1	M	candy pink          	Healthy
Dannie    	1	M	red purple          	Healthy
Chic      	1	M	candy pink          	Healthy
Jolyn     	1	F	candy pink          	Healthy
Fawnia    	1	F	red purple          	Healthy
Ranique   	1	F	red purple          	Radioactive
Chic      	1	M	candy pink          	Healthy
Bartlett  	1	M	red purple          	Radioactive
Wendi     	1	F	red purple          	Radioactive
Jethro    	1	M	candy pink          	Radioactive
Berti     	1	M	candy pink          	Healthy
Holt      	1	M	candy pink          	Radioactive
Shanna    	1	F	red purple          	Healthy
Augustine 	1	M	red purple          	Healthy
Gabrila   	1	F	red purple          	Healthy
Kareem    	1	M	red purple          	Healthy
Angil     	1	F	candy pink          	Radioactive
Perice    	1	M	candy pink          	Healthy
Dore      	1	F	candy pink          	Healthy
Rufus     	0	M	red purple          	Healthy
Pearce    	0	M	candy pink          	Healthy
Merv      	0	M	candy pink          	Healthy
Steffen   	0	M	candy pink          	Healthy
Mariellen 	0	F	red purple          	Radioactive
Glynn     	0	M	red purple          	Radioactive
Broderick 	0	M	candy pink          	Radioactive
Barnabas  	0	M	candy pink          	Healthy
Norbie    	0	M	candy pink          	Healthy
Querida   	0	F	red purple          	Healthy
Ola       	0	F	candy pink          	Healthy
Audre     	0	F	red purple          	Healthy
Gibb      	0	M	red purple          	Healthy
Barbe     	0	F	red purple          	Radioactive
Kassandra 	0	F	candy pink          	Healthy
Lishe     	0	F	candy pink          	Healthy
Randy     	0	M	candy pink          	Healthy
Anderson  	0	M	candy pink          	Healthy
Darb      	0	F	candy pink          	Healthy
Reynold   	0	M	candy pink          	Healthy
Gabriell  	0	F	candy pink          	Radioactive
Paton     	0	M	red purple          	Healthy
Kaleena   	0	F	candy pink          	Radioactive
Harlie    	0	F	red purple          	Healthy
Elora     	0	F	candy pink          	Healthy
Avril     	0	F	candy pink          	Healthy
Carlotta  	0	F	candy pink          	Healthy
Rodger    	0	M	red purple          	Healthy
Bari      	0	F	candy pink          	Radioactive
Tami      	0	F	candy pink          	Healthy
Nicol     	0	M	candy pink          	Healthy
Alair     	0	M	red purple          	Healthy
Billie    	0	M	red purple          	Healthy
Sallie    	0	F	red purple          	Healthy
Matilde   	0	F	red purple          	Healthy
Edgardo   	0	M	candy pink          	Healthy
Robinette 	0	F	candy pink          	Healthy
Linzy     	0	F	candy pink          	Healthy
Shari     	0	F	candy pink          	Healthy
Elvyn     	0	M	candy pink          	Healthy
Bertie    	0	M	candy pink          	Healthy
Traci     	0	F	red purple          	Healthy
------------------------------------------------------------------------
Hartley   	10	M	candy pink          	Radioactive
Dickie    	10	M	red purple          	Healthy
Patty     	10	M	red purple          	Healthy
Gilemette 	10	F	candy pink          	Healthy
Orren     	10	M	candy pink          	Radioactive
Livvie    	10	F	candy pink          	Radioactive
Brooks    	10	F	candy pink          	Healthy
Meridel   	10	F	red purple          	Radioactive
Tallia    	10	F	red purple          	Radioactive
Megan     	10	F	red purple          	Radioactive
Esme      	10	M	red purple          	Radioactive
Hillery   	10	M	candy pink          	Healthy
Francklin 	10	M	candy pink          	Healthy
Kimberlyn 	10	F	red purple          	Healthy
Ingar     	10	M	candy pink          	Radioactive
Tanner    	10	M	red purple          	Radioactive
Ardella   	10	F	candy pink          	Radioactive
Marcus    	10	M	red purple          	Healthy
Jodi      	10	F	candy pink          	Radioactive
Kat       	10	F	candy pink          	Healthy
Dougie    	10	M	candy pink          	Radioactive
Brand     	10	M	red purple          	Radioactive
Aurlie    	10	F	red purple          	Radioactive
Sybilla   	10	F	candy pink          	Radioactive
Neille    	10	F	red purple          	Healthy
Dom       	10	M	candy pink          	Radioactive
Elonore   	10	F	red purple          	Radioactive
Rona      	10	F	red purple          	Radioactive
Lyndsay   	10	F	red purple          	Healthy
Ricki     	10	M	candy pink          	Healthy
Lin       	10	M	candy pink          	Radioactive
Doris     	10	F	red purple          	Radioactive
Demetra   	10	F	red purple          	Healthy
Linnell   	10	F	red purple          	Radioactive
Karissa   	10	F	candy pink          	Healthy
Jennica   	10	F	candy pink          	Radioactive
Deeann    	10	F	candy pink          	Radioactive
Orton     	10	M	candy pink          	Radioactive
Jeramie   	10	M	candy pink          	Radioactive
Maryanna  	10	F	red purple          	Radioactive
Emanuele  	10	M	candy pink          	Radioactive
Ronald    	10	M	candy pink          	Healthy
Clemmie   	10	M	red purple          	Radioactive
Eddie     	10	F	red purple          	Healthy
Madelena  	10	F	candy pink          	Healthy
Kordula   	10	F	red purple          	Radioactive
Emelyne   	10	F	red purple          	Radioactive
Atlanta   	10	F	red purple          	Healthy
Amelita   	9	F	candy pink          	Radioactive
Cora      	9	F	candy pink          	Radioactive
Catarina  	9	F	red purple          	Radioactive
Nowell    	9	M	red purple          	Healthy
Clyve     	9	M	red purple          	Radioactive
Calypso   	9	F	candy pink          	Radioactive
Bridie    	9	F	red purple          	Radioactive
Grazia    	9	F	red purple          	Radioactive
Florrie   	9	F	red purple          	Radioactive
Fenelia   	9	F	red purple          	Radioactive
Leigha    	9	F	red purple          	Radioactive
Gideon    	9	M	candy pink          	Healthy
Jordana   	9	F	candy pink          	Radioactive
Haze      	9	M	candy pink          	Radioactive
Barr      	9	M	red purple          	Radioactive
Baxter    	9	M	candy pink          	Healthy
Chickie   	9	F	red purple          	Radioactive
Jon       	9	M	candy pink          	Radioactive
Rakel     	9	F	candy pink          	Radioactive
Diarmid   	9	M	candy pink          	Healthy
Baryram   	9	M	red purple          	Radioactive
Emelita   	9	F	candy pink          	Healthy
Marilyn   	9	F	candy pink          	Healthy
Charo     	9	F	red purple          	Healthy
Faunie    	9	F	candy pink          	Radioactive
Terrence  	9	M	red purple          	Radioactive
Jethro    	9	M	candy pink          	Radioactive
Anastasie 	9	F	candy pink          	Healthy
Harald    	9	M	red purple          	Radioactive
Dinah     	9	F	candy pink          	Healthy
Pavia     	9	F	red purple          	Radioactive
Reuben    	9	M	candy pink          	Healthy
Jae       	9	M	candy pink          	Radioactive
Torrance  	9	M	candy pink          	Healthy
Kristofer 	9	M	candy pink          	Radioactive
Padgett   	9	M	candy pink          	Radioactive
Esdras    	9	M	red purple          	Radioactive
Pammie    	9	F	candy pink          	Healthy
Inigo     	9	M	red purple          	Radioactive
Leonelle  	9	F	red purple          	Healthy
Dominick  	9	M	candy pink          	Radioactive
Morley    	9	M	red purple          	Radioactive
Avram     	9	M	red purple          	Radioactive
Heall     	9	M	red purple          	Radioactive
Janifer   	9	F	candy pink          	Radioactive
Tabor     	9	M	candy pink          	Radioactive
Sara      	9	F	candy pink          	Radioactive
Josepha   	9	F	candy pink          	Radioactive
Erwin     	9	M	red purple          	Radioactive
Van       	9	M	candy pink          	Radioactive
Kirby     	9	M	candy pink          	Healthy
Rosette   	8	F	candy pink          	Radioactive
Rip       	8	M	candy pink          	Radioactive
